monitoringstation,eventid,cruise,program,project,agency,source,station,sampledate,sampletime,totaldepth,upperpycnocline,lowerpycnocline,depth,layer,sampletype,samplereplicatetype,parameter,qualifier,measurevalue,unit,method,lab,problem,precisionpc,biaspc,details,latitude,longitude
cb6.1,46130,bay593,twqm,main,vadeq,odu,cb6.1,2013-01-28t00:00:00,13:15:00,14,6,6,1,s,d,s1,chla,,4.1652,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,46130,bay593,twqm,main,vadeq,odu,cb6.1,2013-01-28t00:00:00,13:15:00,14,6,6,5,ap,d,s1,chla,,5.1264,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,29970,bay594,twqm,main,vadeq,odu,cb6.1,2013-02-14t00:00:00,11:09:00,12,8,9,1,s,d,s1,chla,,8.7576,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,46130,bay593,twqm,main,vadeq,odu,cb6.1,2013-01-28t00:00:00,13:15:00,14,6,6,7,bp,d,s1,chla,,,ug/l,l01,odu,a,,,centrifuge_tube_broke.,37.58847,-76.16216
cb6.1,29970,bay594,twqm,main,vadeq,odu,cb6.1,2013-02-14t00:00:00,11:09:00,12,8,9,7,ap,d,s1,chla,,7.9032,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,30414,bay598,twqm,main,vadeq,odu,cb6.1,2013-04-16t00:00:00,11:51:00,13,9,9,1,s,d,s1,chla,,8.544,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,46130,bay593,twqm,main,vadeq,odu,cb6.1,2013-01-28t00:00:00,13:15:00,14,6,6,11,b,d,s1,chla,,6.1944,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,29970,bay594,twqm,main,vadeq,odu,cb6.1,2013-02-14t00:00:00,11:09:00,12,8,9,10,bp,d,s1,chla,,12.4956,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,30414,bay598,twqm,main,vadeq,odu,cb6.1,2013-04-16t00:00:00,11:51:00,13,9,9,8,ap,d,s1,chla,,13.884,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,30414,bay598,twqm,main,vadeq,odu,cb6.1,2013-04-16t00:00:00,11:51:00,13,9,9,10,bp,d,s1,chla,,18.61371,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,29970,bay594,twqm,main,vadeq,odu,cb6.1,2013-02-14t00:00:00,11:09:00,12,8,9,11,b,d,s1,chla,,14.0175,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,30414,bay598,twqm,main,vadeq,odu,cb6.1,2013-04-16t00:00:00,11:51:00,13,9,9,12,b,d,s1,chla,,18.91886,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,30740,bay600,twqm,main,vadeq,odu,cb6.1,2013-05-16t00:00:00,16:34:00,13,6,10,5,ap,d,s1,chla,,8.544,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,30740,bay600,twqm,main,vadeq,odu,cb6.1,2013-05-16t00:00:00,16:34:00,13,6,10,1,s,d,s1,chla,,5.0196,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,30740,bay600,twqm,main,vadeq,odu,cb6.1,2013-05-16t00:00:00,16:34:00,13,6,10,11,bp,d,s1,chla,,4.539,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,30740,bay600,twqm,main,vadeq,odu,cb6.1,2013-05-16t00:00:00,16:34:00,13,6,10,12,b,d,s1,chla,,4.6725,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,30897,bay602,twqm,main,vadeq,odu,cb6.1,2013-06-05t00:00:00,15:22:00,12,9,9,1,s,d,s1,chla,,8.39143,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,30897,bay602,twqm,main,vadeq,odu,cb6.1,2013-06-05t00:00:00,15:22:00,12,9,9,8,ap,d,s1,chla,,6.408,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,30897,bay602,twqm,main,vadeq,odu,cb6.1,2013-06-05t00:00:00,15:22:00,12,9,9,10,bp,d,s1,chla,,4.628,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,30897,bay602,twqm,main,vadeq,odu,cb6.1,2013-06-05t00:00:00,15:22:00,12,9,9,11,b,d,s1,chla,,4.628,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,25520,bay603,twqm,main,vadeq,odu,cb6.1,2013-06-24t00:00:00,16:01:00,12,4,8,3,ap,d,s1,chla,,13.35,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,25520,bay603,twqm,main,vadeq,odu,cb6.1,2013-06-24t00:00:00,16:01:00,12,4,8,1,s,d,s1,chla,,12.282,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,25520,bay603,twqm,main,vadeq,odu,cb6.1,2013-06-24t00:00:00,16:01:00,12,4,8,9,bp,d,s1,chla,,3.916,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393757,bay604,twqm,main,vadeq,odu,cb6.1,2013-07-15t00:00:00,15:29:00,12,10,10,1,s,d,s1,chla,,7.476,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393759,bay606,twqm,main,vadeq,odu,cb6.1,2013-08-12t00:00:00,15:45:00,14,8,9,1,s,d,s1,chla,,8.188,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,25520,bay603,twqm,main,vadeq,odu,cb6.1,2013-06-24t00:00:00,16:01:00,12,4,8,11,b,d,s1,chla,,1.602,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393757,bay604,twqm,main,vadeq,odu,cb6.1,2013-07-15t00:00:00,15:29:00,12,10,10,9,ap,d,s1,chla,,7.12,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393757,bay604,twqm,main,vadeq,odu,cb6.1,2013-07-15t00:00:00,15:29:00,12,10,10,11,b,d,s1,chla,,3.56,ug/l,l01,odu,,,,sample_collected_approximately_5_minutes_before_bottom_pycnocline_sample_collected.,37.58847,-76.16216
cb6.1,393757,bay604,twqm,main,vadeq,odu,cb6.1,2013-07-15t00:00:00,15:29:00,12,10,10,11,bp,d,s1,chla,,4.984,ug/l,l01,odu,,,,sample_collected_approximately_5_minutes_after_bottom_sample_collected.,37.58847,-76.16216
cb6.1,393759,bay606,twqm,main,vadeq,odu,cb6.1,2013-08-12t00:00:00,15:45:00,14,8,9,7,ap,d,s1,chla,,8.722,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393759,bay606,twqm,main,vadeq,odu,cb6.1,2013-08-12t00:00:00,15:45:00,14,8,9,13,b,d,s1,chla,,2.67,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393759,bay606,twqm,main,vadeq,odu,cb6.1,2013-08-12t00:00:00,15:45:00,14,8,9,10,bp,d,s1,chla,,3.382,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393855,bay609,twqm,main,vadeq,odu,cb6.1,2013-09-19t00:00:00,11:18:00,14,9,9,8,ap,d,s1,chla,,4.005,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393855,bay609,twqm,main,vadeq,odu,cb6.1,2013-09-19t00:00:00,11:18:00,14,9,9,1,s,d,s1,chla,,6.141,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393855,bay609,twqm,main,vadeq,odu,cb6.1,2013-09-19t00:00:00,11:18:00,14,9,9,13,b,d,s1,chla,,2.136,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393855,bay609,twqm,main,vadeq,odu,cb6.1,2013-09-19t00:00:00,11:18:00,14,9,9,10,bp,d,s1,chla,,1.869,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393856,bay611,twqm,main,vadeq,odu,cb6.1,2013-10-21t00:00:00,15:28:00,12,6,6,5,ap,d,s1,chla,,8.6775,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393856,bay611,twqm,main,vadeq,odu,cb6.1,2013-10-21t00:00:00,15:28:00,12,6,6,11,b,d,s1,chla,,2.67,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393856,bay611,twqm,main,vadeq,odu,cb6.1,2013-10-21t00:00:00,15:28:00,12,6,6,1,s,d,s1,chla,,10.146,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393856,bay611,twqm,main,vadeq,odu,cb6.1,2013-10-21t00:00:00,15:28:00,12,6,6,7,bp,d,s1,chla,,6.0075,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393908,bay612,twqm,main,vadeq,odu,cb6.1,2013-11-14t00:00:00,11:11:00,13,,,4,ap,d,s1,chla,,4.806,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393908,bay612,twqm,main,vadeq,odu,cb6.1,2013-11-14t00:00:00,11:11:00,13,,,12,b,d,s1,chla,,2.5365,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393908,bay612,twqm,main,vadeq,odu,cb6.1,2013-11-14t00:00:00,11:11:00,13,,,9,bp,d,s1,chla,,2.937,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393908,bay612,twqm,main,vadeq,odu,cb6.1,2013-11-14t00:00:00,11:11:00,13,,,1,s,d,s1,chla,,4.806,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393909,bay614,twqm,main,vadeq,odu,cb6.1,2013-12-11t00:00:00,16:41:00,13,10,10,1,s,d,s1,chla,,8.2236,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393909,bay614,twqm,main,vadeq,odu,cb6.1,2013-12-11t00:00:00,16:41:00,13,10,10,9,ap,d,s1,chla,,8.7576,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393909,bay614,twqm,main,vadeq,odu,cb6.1,2013-12-11t00:00:00,16:41:00,13,10,10,12,b,d,s1,chla,,6.942,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393909,bay614,twqm,main,vadeq,odu,cb6.1,2013-12-11t00:00:00,16:41:00,13,10,10,11,bp,d,s1,chla,,7.476,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393954,bay618,twqm,main,vadeq,odu,cb6.1,2014-02-18t00:00:00,07:32:00,13,8,8,7,ap,d,s1,chla,,7.7964,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393954,bay618,twqm,main,vadeq,odu,cb6.1,2014-02-18t00:00:00,07:32:00,13,8,8,1,s,d,s1,chla,,6.942,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393954,bay618,twqm,main,vadeq,odu,cb6.1,2014-02-18t00:00:00,07:32:00,13,8,8,12,b,d,s1,chla,,9.9324,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393954,bay618,twqm,main,vadeq,odu,cb6.1,2014-02-18t00:00:00,07:32:00,13,8,8,9,bp,d,s1,chla,,9.078,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393983,bay621,twqm,main,vadeq,odu,cb6.1,2014-03-20t00:00:00,10:45:00,13,6,6,5,ap,d,s1,chla,,6.1944,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393983,bay621,twqm,main,vadeq,odu,cb6.1,2014-03-20t00:00:00,10:45:00,13,6,6,12,b,d,s1,chla,,12.4155,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393983,bay621,twqm,main,vadeq,odu,cb6.1,2014-03-20t00:00:00,10:45:00,13,6,6,1,s,d,s1,chla,,3.9516,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393983,bay621,twqm,main,vadeq,odu,cb6.1,2014-03-20t00:00:00,10:45:00,13,6,6,7,bp,d,s1,chla,,8.1168,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393984,bay622,twqm,main,vadeq,odu,cb6.1,2014-04-22t00:00:00,11:14:00,12,9,9,8,ap,d,s1,chla,,9.256,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393984,bay622,twqm,main,vadeq,odu,cb6.1,2014-04-22t00:00:00,11:14:00,12,9,9,11,b,d,s1,chla,,9.7455,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393984,bay622,twqm,main,vadeq,odu,cb6.1,2014-04-22t00:00:00,11:14:00,12,9,9,10,bp,d,s1,chla,,9.078,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393984,bay622,twqm,main,vadeq,odu,cb6.1,2014-04-22t00:00:00,11:14:00,12,9,9,1,s,d,s1,chla,,9.8256,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394040,bay624,twqm,main,vadeq,odu,cb6.1,2014-05-12t00:00:00,16:02:00,12,7,7,1,s,d,s1,chla,,14.952,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394041,bay626,twqm,main,vadeq,odu,cb6.1,2014-06-02t00:00:00,15:40:00,12,9,10,1,s,d,s1,chla,,4.272,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394040,bay624,twqm,main,vadeq,odu,cb6.1,2014-05-12t00:00:00,16:02:00,12,7,7,6,ap,d,s1,chla,,23.73333,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394040,bay624,twqm,main,vadeq,odu,cb6.1,2014-05-12t00:00:00,16:02:00,12,7,7,11,b,d,s1,chla,,6.3012,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394040,bay624,twqm,main,vadeq,odu,cb6.1,2014-05-12t00:00:00,16:02:00,12,7,7,8,bp,d,s1,chla,,9.9324,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394041,bay626,twqm,main,vadeq,odu,cb6.1,2014-06-02t00:00:00,15:40:00,12,9,10,8,ap,d,s1,chla,,4.86533,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394041,bay626,twqm,main,vadeq,odu,cb6.1,2014-06-02t00:00:00,15:40:00,12,9,10,11,b,d,s1,chla,,2.0025,ug/l,l01,odu,,,,sample_collected_approximately_5_minutes_before_bottom_pycnocline_sample_collected.,37.58847,-76.16216
cb6.1,394041,bay626,twqm,main,vadeq,odu,cb6.1,2014-06-02t00:00:00,15:40:00,12,9,10,11,bp,d,s1,chla,,1.7355,ug/l,l01,odu,,,,sample_collected_approximately_5_minutes_after_bottom_sample_collected.,37.58847,-76.16216
cb6.1,394124,bay628,twqm,main,vadeq,odu,cb6.1,2014-07-07t00:00:00,13:39:00,11,8,8,7,ap,d,s1,chla,,7.12,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394124,bay628,twqm,main,vadeq,odu,cb6.1,2014-07-07t00:00:00,13:39:00,11,8,8,10,b,d,s1,chla,,3.56,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394124,bay628,twqm,main,vadeq,odu,cb6.1,2014-07-07t00:00:00,13:39:00,11,8,8,1,s,d,s1,chla,,11.926,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394124,bay628,twqm,main,vadeq,odu,cb6.1,2014-07-07t00:00:00,13:39:00,11,8,8,9,bp,d,s1,chla,,2.848,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394126,bay630,twqm,main,vadeq,odu,cb6.1,2014-08-04t00:00:00,15:55:00,12,10,10,9,ap,d,s1,chla,,4.539,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394126,bay630,twqm,main,vadeq,odu,cb6.1,2014-08-04t00:00:00,15:55:00,12,10,10,11,b,d,s1,chla,,1.602,ug/l,l01,odu,,,,sample_collected_approximately_5_minutes_before_bottom_pycnocline_sample_collected.,37.58847,-76.16216
cb6.1,394126,bay630,twqm,main,vadeq,odu,cb6.1,2014-08-04t00:00:00,15:55:00,12,10,10,11,bp,d,s1,chla,,2.136,ug/l,l01,odu,,,,sample_collected_approximately_5_minutes_after_bottom_sample_collected.,37.58847,-76.16216
cb6.1,394126,bay630,twqm,main,vadeq,odu,cb6.1,2014-08-04t00:00:00,15:55:00,12,10,10,1,s,d,s1,chla,,7.0755,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394127,bay631,twqm,main,vadeq,odu,cb6.1,2014-08-27t00:00:00,11:31:00,13,7,7,1,s,d,s1,chla,,3.9516,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394127,bay631,twqm,main,vadeq,odu,cb6.1,2014-08-27t00:00:00,11:31:00,13,7,7,6,ap,d,s1,chla,,6.1944,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394127,bay631,twqm,main,vadeq,odu,cb6.1,2014-08-27t00:00:00,11:31:00,13,7,7,12,b,d,s1,chla,,5.34,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,394127,bay631,twqm,main,vadeq,odu,cb6.1,2014-08-27t00:00:00,11:31:00,13,7,7,8,bp,d,s1,chla,,6.7284,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,384091,bay632,twqm,main,vadeq,odu,cb6.1,2014-09-16t00:00:00,11:25:00,12,7,7,6,ap,d,s1,chla,,8.544,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,384091,bay632,twqm,main,vadeq,odu,cb6.1,2014-09-16t00:00:00,11:25:00,12,7,7,1,s,d,s1,chla,,6.942,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,384091,bay632,twqm,main,vadeq,odu,cb6.1,2014-09-16t00:00:00,11:25:00,12,7,7,11,b,d,s1,chla,,1.7355,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,384091,bay632,twqm,main,vadeq,odu,cb6.1,2014-09-16t00:00:00,11:25:00,12,7,7,8,bp,d,s1,chla,,2.0025,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,384092,bay635,twqm,main,vadeq,odu,cb6.1,2014-10-20t00:00:00,14:43:00,12,,,4,ap,d,s1,chla,,3.5244,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,384092,bay635,twqm,main,vadeq,odu,cb6.1,2014-10-20t00:00:00,14:43:00,12,,,11,b,d,s1,chla,,1.9224,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,384092,bay635,twqm,main,vadeq,odu,cb6.1,2014-10-20t00:00:00,14:43:00,12,,,1,s,d,s1,chla,,4.0584,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,384092,bay635,twqm,main,vadeq,odu,cb6.1,2014-10-20t00:00:00,14:43:00,12,,,8,bp,d,s1,chla,,2.7768,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,384142,bay638,twqm,main,vadeq,odu,cb6.1,2014-12-15t00:00:00,15:15:00,13,10,10,9,ap,d,s1,chla,,3.3108,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,384142,bay638,twqm,main,vadeq,odu,cb6.1,2014-12-15t00:00:00,15:15:00,13,10,10,12,b,d,s1,chla,,6.5148,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,384142,bay638,twqm,main,vadeq,odu,cb6.1,2014-12-15t00:00:00,15:15:00,13,10,10,11,bp,d,s1,chla,,5.874,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,384142,bay638,twqm,main,vadeq,odu,cb6.1,2014-12-15t00:00:00,15:15:00,13,10,10,1,s,d,s1,chla,,4.272,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,389687,bay640,twqm,main,vadeq,odu,cb6.1,2015-01-16t00:00:00,09:46:00,12,8,8,1,s,d,s1,chla,,3.5244,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,389687,bay640,twqm,main,vadeq,odu,cb6.1,2015-01-16t00:00:00,09:46:00,12,8,8,7,ap,d,s1,chla,,4.1652,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,389687,bay640,twqm,main,vadeq,odu,cb6.1,2015-01-16t00:00:00,09:46:00,12,8,8,11,b,d,s1,chla,,6.52667,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,389687,bay640,twqm,main,vadeq,odu,cb6.1,2015-01-16t00:00:00,09:46:00,12,8,8,9,bp,d,s1,chla,,6.1944,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,389727,bay644,twqm,main,vadeq,odu,cb6.1,2015-03-12t00:00:00,15:06:00,12,5,8,4,ap,d,s1,chla,,2.0292,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,389727,bay644,twqm,main,vadeq,odu,cb6.1,2015-03-12t00:00:00,15:06:00,12,5,8,1,s,d,s1,chla,,1.9224,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,389727,bay644,twqm,main,vadeq,odu,cb6.1,2015-03-12t00:00:00,15:06:00,12,5,8,11,b,d,s1,chla,,8.7576,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,389727,bay644,twqm,main,vadeq,odu,cb6.1,2015-03-12t00:00:00,15:06:00,12,5,8,9,bp,d,s1,chla,,4.6992,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,389728,bay646,twqm,main,vadeq,odu,cb6.1,2015-04-07t00:00:00,11:54:00,12,3,5,2,ap,d,s1,chla,,4.0584,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,389728,bay646,twqm,main,vadeq,odu,cb6.1,2015-04-07t00:00:00,11:54:00,12,3,5,11,b,d,s1,chla,,5.7672,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,389728,bay646,twqm,main,vadeq,odu,cb6.1,2015-04-07t00:00:00,11:54:00,12,3,5,1,s,d,s1,chla,,3.6312,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,389728,bay646,twqm,main,vadeq,odu,cb6.1,2015-04-07t00:00:00,11:54:00,12,3,5,6,bp,d,s1,chla,,4.9128,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,390866,bay648,twqm,main,vadeq,odu,cb6.1,2015-05-06t00:00:00,16:19:00,12,3,3,2,ap,d,s1,chla,,13.083,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,390866,bay648,twqm,main,vadeq,odu,cb6.1,2015-05-06t00:00:00,16:19:00,12,3,3,11,b,d,s1,chla,,12.549,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,390866,bay648,twqm,main,vadeq,odu,cb6.1,2015-05-06t00:00:00,16:19:00,12,3,3,4,bp,d,s1,chla,,14.2845,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,390866,bay648,twqm,main,vadeq,odu,cb6.1,2015-05-06t00:00:00,16:19:00,12,3,3,1,s,d,s1,chla,,12.4155,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,390867,bay650,twqm,main,vadeq,odu,cb6.1,2015-06-01t00:00:00,15:50:00,12,,,1,s,d,s1,chla,,6.675,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,390867,bay650,twqm,main,vadeq,odu,cb6.1,2015-06-01t00:00:00,15:50:00,12,,,4,ap,d,s1,chla,,6.675,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,390867,bay650,twqm,main,vadeq,odu,cb6.1,2015-06-01t00:00:00,15:50:00,12,,,11,b,d,s1,chla,,2.403,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,390867,bay650,twqm,main,vadeq,odu,cb6.1,2015-06-01t00:00:00,15:50:00,12,,,8,bp,d,s1,chla,,5.34,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,390868,bay651,twqm,main,vadeq,odu,cb6.1,2015-06-22t00:00:00,15:26:00,12,9,9,8,ap,d,s1,chla,,8.01,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,390868,bay651,twqm,main,vadeq,odu,cb6.1,2015-06-22t00:00:00,15:26:00,12,9,9,1,s,d,s1,chla,,6.942,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,390868,bay651,twqm,main,vadeq,odu,cb6.1,2015-06-22t00:00:00,15:26:00,12,9,9,11,b,d,s1,chla,,2.67,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,390868,bay651,twqm,main,vadeq,odu,cb6.1,2015-06-22t00:00:00,15:26:00,12,9,9,10,bp,d,s1,chla,,4.1385,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,391275,bay652,twqm,main,vadeq,odu,cb6.1,2015-07-06t00:00:00,17:03:00,12,7,7,6,ap,d,s1,chla,,7.62857,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,391275,bay652,twqm,main,vadeq,odu,cb6.1,2015-07-06t00:00:00,17:03:00,12,7,7,11,b,d,s1,chla,,1.869,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,391275,bay652,twqm,main,vadeq,odu,cb6.1,2015-07-06t00:00:00,17:03:00,12,7,7,1,s,d,s1,chla,,8.544,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,391275,bay652,twqm,main,vadeq,odu,cb6.1,2015-07-06t00:00:00,17:03:00,12,7,7,8,bp,d,s1,chla,,4.806,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,391277,bay654,twqm,main,vadeq,odu,cb6.1,2015-08-05t00:00:00,07:31:00,12,6,6,5,ap,d,s1,chla,,8.9445,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,391277,bay654,twqm,main,vadeq,odu,cb6.1,2015-08-05t00:00:00,07:31:00,12,6,6,11,b,d,s1,chla,,2.937,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,391277,bay654,twqm,main,vadeq,odu,cb6.1,2015-08-05t00:00:00,07:31:00,12,6,6,7,bp,d,s1,chla,,7.743,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,391277,bay654,twqm,main,vadeq,odu,cb6.1,2015-08-05t00:00:00,07:31:00,12,6,6,1,s,d,s1,chla,,7.209,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,391278,bay655,twqm,main,vadeq,odu,cb6.1,2015-08-26t00:00:00,16:10:00,12,10,10,1,s,d,s1,chla,,7.1556,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,391278,bay655,twqm,main,vadeq,odu,cb6.1,2015-08-26t00:00:00,16:10:00,12,10,10,9,ap,d,s1,chla,,5.6604,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,391278,bay655,twqm,main,vadeq,odu,cb6.1,2015-08-26t00:00:00,16:10:00,12,10,10,11,b,d,s1,chla,,2.937,ug/l,l01,odu,,,,sample_collected_approximately_5_minutes_before_below_pycnocline_sample_collected.,37.58847,-76.16216
cb6.1,391278,bay655,twqm,main,vadeq,odu,cb6.1,2015-08-26t00:00:00,16:10:00,12,10,10,11,bp,d,s1,chla,,2.67,ug/l,l01,odu,,,,sample_collected_approximately_5_minutes_after_bottom_sample_collected.,37.58847,-76.16216
cb6.1,393039,bay659,twqm,main,vadeq,odu,cb6.1,2015-10-20t00:00:00,15:57:00,12,5,6,4,ap,d,s1,chla,,4.5924,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393039,bay659,twqm,main,vadeq,odu,cb6.1,2015-10-20t00:00:00,15:57:00,12,5,6,1,s,d,s1,chla,,4.6992,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393039,bay659,twqm,main,vadeq,odu,cb6.1,2015-10-20t00:00:00,15:57:00,12,5,6,11,b,d,s1,chla,,1.602,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,393039,bay659,twqm,main,vadeq,odu,cb6.1,2015-10-20t00:00:00,15:57:00,12,5,6,7,bp,d,s1,chla,,2.0292,ug/l,l01,odu,,,,,37.58847,-76.16216
cb6.1,412892,bay661,twqm,main,vadeq,odu,cb6.1,2015-11-16t00:00:00,12:41:00,13,6,6,5,ap,d,s1,chla,,6.0876,ug/l,l01,odu,,,,,37.58847,-76.16216
